statement,label
Water boils at 100Â°C at sea level,1
The Earth is flat,0
Mount Everest is the tallest mountain on Earth,1
The human body has five lungs,0
The capital of France is Paris,1
All cats are blue,0
Python is a programming language,1
The Moon is made of cheese,0
Humans need oxygen to survive,1
Dogs can speak English,0
There are 24 hours in a day,1
Birds can breathe underwater,0
The Pacific Ocean is the largest ocean,1
Trees can walk,0
Gold is a chemical element,1
2 + 2 = 5,0
The Great Wall of China is visible from space,0
Photosynthesis produces oxygen,1
Penguins live in the desert,0
Venus is the hottest planet in our solar system,1
The human brain has infinite memory,0
Einstein developed the theory of relativity,1
Cars can drive underwater without modifications,0
DNA contains genetic information,1
Fish can fly in the air,0
The Amazon is the longest river in the world,1
Humans have gills for breathing underwater,0
Vaccines help prevent diseases,1
The Sun orbits the Earth,0
Lightning always strikes the tallest object,0
Bats are mammals,1
All triangles have four sides,0
Paper is made from trees,1
Humans can breathe in space without equipment,0
The Mona Lisa was painted by Leonardo da Vinci,1
All planets are made of gas,0
The speed of light is constant in a vacuum,1
Crocodiles are herbivores,0
Jupiter is the largest planet in our solar system,1
Humans have 10 fingers total,1